epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,102.847,0.30646,5.09283,0.25329,0.23307,1.06154,0.99587,1,0.995,0.9563,0.35172,0.35294,0.18844,0.04534,0.47991,6.04793,0.22581,0.42791,0.85907,0.0014456,0.0014456,0.0014456
30,105.582,0.29998,5.62443,0.24376,0.23416,1.05385,0.99774,1,0.995,0.94519,0.16901,0.35294,0.12698,0.04448,0.44871,6.16421,0.24261,0.29996,0.76808,0.0014258,0.0014258,0.0014258
31,108.106,0.2608,4.36039,0.25373,0.21863,0.97674,0.9971,1,0.995,0.98336,0.29348,0.29412,0.19191,0.04733,0.39391,5.1167,0.20103,0.31707,0.69171,0.001406,0.001406,0.001406
32,110.669,0.25975,4.06434,0.25239,0.20524,1.01815,1,0.99494,0.995,0.91964,0.51212,0.52941,0.44235,0.13585,0.54316,4.42023,0.22773,0.67886,0.90828,0.0013862,0.0013862,0.0013862
33,113.217,0.25622,4.37845,0.24217,0.21083,0.99914,0.99834,1,0.995,0.97871,0.19608,0.29412,0.188,0.03206,0.41344,6.2018,0.20892,0.33299,0.69061,0.0013664,0.0013664,0.0013664
34,115.769,0.24999,3.98878,0.23407,0.20844,0.9835,0.99807,1,0.995,0.98201,0.08,0.11765,0.05122,0.01542,0.43566,5.89152,0.20067,0.3925,0.72209,0.0013466,0.0013466,0.0013466
35,118.227,0.26536,3.905,0.23761,0.20466,1.00253,0.99845,1,0.995,0.98146,0.11299,0.11619,0.05349,0.01019,0.45178,6.7278,0.1976,0.35541,0.71956,0.0013268,0.0013268,0.0013268
36,120.698,0.25009,3.76791,0.22436,0.21314,1.00908,0.99352,1,0.995,0.98542,0.48479,0.5,0.34017,0.05865,0.35932,4.56546,0.18476,0.31207,0.63621,0.001307,0.001307,0.001307
37,123.142,0.24007,3.74726,0.22674,0.19811,0.99719,0.99765,1,0.995,0.97788,0.08807,0.08824,0.03371,0.00782,0.415,6.55525,0.27877,0.36253,0.67976,0.0012872,0.0012872,0.0012872
38,125.611,0.25659,3.81455,0.23056,0.20193,1.00044,0.9434,1,0.995,0.8864,0.72165,0.76471,0.73112,0.2491,0.43624,3.63963,0.19792,0.43669,0.71834,0.0012674,0.0012674,0.0012674
39,128.152,0.2454,3.8789,0.23812,0.20418,0.98903,0.95699,1,0.995,0.91169,0.37281,0.38235,0.26971,0.06412,0.51199,5.80955,0.20661,0.39972,0.8209,0.0012476,0.0012476,0.0012476
40,130.655,0.26487,3.92147,0.23299,0.21597,1.01259,0.9802,1,0.995,0.94461,0.86411,0.88235,0.84839,0.26948,0.45924,3.1725,0.1973,0.47178,0.74076,0.0012278,0.0012278,0.0012278
41,133.225,0.25995,3.58706,0.22065,0.20166,1.00335,0.98583,1,0.995,0.97507,0.84192,0.85294,0.82552,0.37286,0.43235,3.03997,0.19303,0.39866,0.70842,0.001208,0.001208,0.001208
42,135.764,0.25343,3.20903,0.22268,0.21301,0.99974,0.94403,1,0.99443,0.97495,0.8595,0.91176,0.8634,0.29471,0.36798,2.66126,0.19209,0.34749,0.64861,0.0011882,0.0011882,0.0011882
43,138.248,0.24573,2.79495,0.2058,0.18893,0.97616,0.97109,0.98821,0.991,0.96374,0.77073,0.79108,0.66137,0.23867,0.35591,2.93629,0.20195,0.35246,0.64545,0.0011684,0.0011684,0.0011684
44,140.73,0.2541,2.92548,0.19971,0.20762,0.99208,0.96961,1,0.99443,0.97106,0.96961,1,0.98671,0.4166,0.33843,2.34708,0.18748,0.35534,0.61496,0.0011486,0.0011486,0.0011486
45,143.245,0.23974,3.00576,0.21415,0.19147,0.9911,0.99815,1,0.995,0.98159,0.85133,0.85294,0.79215,0.35333,0.35985,2.58019,0.19433,0.32556,0.62183,0.0011288,0.0011288,0.0011288
46,145.74,0.2173,2.67861,0.19679,0.18066,0.95725,0.99839,1,0.995,0.98375,0.76426,0.76471,0.72667,0.29361,0.34757,2.81162,0.19381,0.36209,0.62915,0.001109,0.001109,0.001109
47,148.184,0.22232,2.80071,0.20859,0.1845,0.99466,0.99707,1,0.995,0.98369,0.52858,0.52941,0.40106,0.12108,0.34814,4.65685,0.21107,0.32396,0.61062,0.0010892,0.0010892,0.0010892
48,150.66,0.23373,3.0928,0.21385,0.19074,0.97082,0.99659,1,0.995,0.98395,0.70513,0.70588,0.71443,0.2601,0.30418,3.4782,0.19261,0.29532,0.57707,0.0010694,0.0010694,0.0010694
49,153.137,0.22121,2.87611,0.20693,0.18538,0.96501,0.9983,1,0.995,0.98085,0.85216,0.85294,0.81146,0.33145,0.3138,2.74662,0.19654,0.23617,0.59573,0.0010496,0.0010496,0.0010496
50,155.629,0.23242,3.05268,0.20809,0.19292,0.97457,0.99833,1,0.995,0.97654,0.793,0.79412,0.75362,0.29291,0.32396,3.01126,0.19982,0.24952,0.58634,0.0010298,0.0010298,0.0010298
51,158.129,0.21096,3.00886,0.21159,0.17688,0.98359,0.99837,1,0.995,0.97467,0.70519,0.70588,0.64775,0.18927,0.34096,4.06151,0.19613,0.33688,0.59453,0.00101,0.00101,0.00101
52,160.58,0.19893,2.57872,0.19691,0.17031,0.94876,0.96115,1,0.995,0.92976,0.90436,0.94118,0.92482,0.39052,0.35184,2.34635,0.18669,0.38624,0.62869,0.0009902,0.0009902,0.0009902
53,163.053,0.20017,2.45812,0.19929,0.16417,0.94721,0.99745,1,0.995,0.97106,0.90944,0.91176,0.88554,0.36904,0.32601,2.32422,0.18394,0.28357,0.60295,0.0009704,0.0009704,0.0009704
54,165.54,0.1837,2.32057,0.19284,0.16345,0.945,0.99825,1,0.995,0.96969,0.99825,1,0.995,0.54505,0.30968,1.71631,0.18267,0.27339,0.57607,0.0009506,0.0009506,0.0009506
55,168.1,0.18549,2.40688,0.20258,0.15979,0.94803,0.99848,1,0.995,0.97731,0.96909,0.97059,0.96985,0.44775,0.27738,2.13174,0.18742,0.22847,0.55852,0.0009308,0.0009308,0.0009308
56,170.666,0.19726,2.71244,0.19662,0.16035,0.96714,0.99833,1,0.995,0.98713,0.96897,0.97059,0.96,0.43024,0.28767,2.37598,0.18505,0.22691,0.55822,0.000911,0.000911,0.000911
57,173.245,0.20407,2.32476,0.18905,0.16957,0.94658,0.99706,1,0.995,0.97905,0.96773,0.97059,0.96159,0.47306,0.29181,2.02834,0.1941,0.24642,0.57198,0.0008912,0.0008912,0.0008912
58,175.764,0.18794,2.43528,0.19357,0.16634,0.93526,0.99824,1,0.995,0.98027,0.99824,1,0.995,0.52011,0.32678,2.07614,0.18995,0.26632,0.60516,0.0008714,0.0008714,0.0008714
59,178.257,0.19523,2.66501,0.18895,0.16758,0.95264,0.99837,1,0.995,0.95863,0.96901,0.97059,0.96569,0.48969,0.35451,2.03355,0.18828,0.28214,0.63135,0.0008516,0.0008516,0.0008516
60,180.757,0.19011,2.49412,0.19394,0.16248,0.95845,0.99794,1,0.995,0.9738,0.96859,0.97059,0.95397,0.41041,0.31624,2.30906,0.19087,0.24444,0.60965,0.0008318,0.0008318,0.0008318
61,183.294,0.19316,2.41922,0.19649,0.16836,0.9386,0.99833,1,0.995,0.9719,0.99833,1,0.995,0.58688,0.28385,1.64567,0.17701,0.23825,0.5754,0.000812,0.000812,0.000812
62,185.919,0.17874,2.31723,0.18874,0.15969,0.94086,0.99847,1,0.995,0.97324,0.99847,1,0.995,0.61054,0.30285,1.65263,0.1871,0.25371,0.58117,0.0007922,0.0007922,0.0007922
63,188.481,0.17289,2.24452,0.18564,0.15686,0.94898,0.99844,1,0.995,0.96664,0.99844,1,0.995,0.64727,0.34197,1.58183,0.17859,0.2642,0.60097,0.0007724,0.0007724,0.0007724
64,191.072,0.19659,2.07973,0.19173,0.16501,0.93769,0.99847,1,0.995,0.9832,0.99847,1,0.995,0.54795,0.28514,1.70118,0.18264,0.26334,0.56327,0.0007526,0.0007526,0.0007526
65,193.567,0.19392,1.94284,0.18161,0.16189,0.93488,1,1,0.995,0.98516,1,1,0.995,0.6599,0.28766,1.55256,0.17481,0.23599,0.57783,0.0007328,0.0007328,0.0007328
66,196.203,0.19217,2.01749,0.1914,0.15718,0.95221,0.99846,1,0.995,0.99109,0.93969,0.94118,0.93097,0.39883,0.28219,2.29876,0.17114,0.23801,0.55879,0.000713,0.000713,0.000713
67,198.707,0.20279,2.24522,0.18331,0.16536,0.9437,0.99847,1,0.995,0.98906,0.93974,0.94118,0.9249,0.56427,0.25973,1.70717,0.18118,0.2351,0.53987,0.0006932,0.0006932,0.0006932
68,201.195,0.18972,2.13823,0.19247,0.1553,0.9405,0.99849,1,0.995,0.99285,0.96909,0.97059,0.95616,0.58552,0.24621,1.60112,0.18096,0.22585,0.50414,0.0006734,0.0006734,0.0006734
69,203.717,0.18835,2.05785,0.18866,0.15012,0.94002,0.99847,1,0.995,0.99243,0.96911,0.97059,0.95812,0.44156,0.24549,2.15703,0.18412,0.21056,0.51577,0.0006536,0.0006536,0.0006536
70,206.195,0.16955,2.14073,0.18055,0.15155,0.93417,0.99845,1,0.995,0.99185,0.96909,0.97059,0.95397,0.60656,0.25086,1.50145,0.17722,0.20982,0.53175,0.0006338,0.0006338,0.0006338
71,208.711,0.16979,1.9569,0.1788,0.14705,0.92826,0.99842,1,0.995,0.98932,0.99842,1,0.995,0.59773,0.27087,1.5762,0.18877,0.22277,0.54644,0.000614,0.000614,0.000614
72,211.291,0.16664,1.64776,0.17575,0.14431,0.95412,0.99844,1,0.995,0.98558,0.99844,1,0.995,0.65143,0.28756,1.44414,0.17567,0.26179,0.56359,0.0005942,0.0005942,0.0005942
73,213.835,0.17372,1.74012,0.18505,0.1424,0.92491,0.99846,1,0.995,0.96442,0.99846,1,0.995,0.65415,0.28456,1.3564,0.17503,0.27944,0.5541,0.0005744,0.0005744,0.0005744
74,216.408,0.16105,1.51705,0.17578,0.14302,0.93437,0.99831,1,0.995,0.98653,0.99831,1,0.995,0.68401,0.26245,1.38411,0.17299,0.28099,0.53632,0.0005546,0.0005546,0.0005546
75,218.984,0.15635,1.5905,0.18024,0.13739,0.92161,0.99842,1,0.995,0.98277,0.96905,0.97059,0.95395,0.59501,0.25885,1.55759,0.17236,0.2367,0.54391,0.0005348,0.0005348,0.0005348
76,221.54,0.16473,1.63854,0.17664,0.14402,0.93508,0.99805,1,0.995,0.98925,0.99805,1,0.995,0.66272,0.254,1.50211,0.17362,0.22557,0.54696,0.000515,0.000515,0.000515
77,224.065,0.16619,1.50808,0.17172,0.14891,0.93306,0.99837,1,0.995,0.99169,0.99837,1,0.995,0.6918,0.25243,1.19217,0.16474,0.23695,0.53571,0.0004952,0.0004952,0.0004952
78,226.674,0.16135,1.57365,0.17867,0.13894,0.92578,0.99845,1,0.995,0.99307,0.99845,1,0.995,0.63532,0.2446,1.4638,0.16366,0.2414,0.509,0.0004754,0.0004754,0.0004754
79,229.19,0.17074,1.62541,0.17945,0.14462,0.95016,0.99843,1,0.995,0.995,0.99843,1,0.995,0.72473,0.22315,1.17545,0.16229,0.21862,0.49349,0.0004556,0.0004556,0.0004556
80,231.753,0.16735,1.44499,0.17454,0.14391,0.92371,0.99845,1,0.995,0.99101,0.99845,1,0.995,0.68368,0.25175,1.4179,0.16091,0.22823,0.52065,0.0004358,0.0004358,0.0004358
81,234.25,0.15839,1.39791,0.16478,0.13469,0.91603,0.99846,1,0.995,0.99323,0.99846,1,0.995,0.71092,0.25805,1.23369,0.16633,0.23198,0.52636,0.000416,0.000416,0.000416
82,236.765,0.15834,1.50093,0.17203,0.1343,0.92416,0.99847,1,0.995,0.995,0.99847,1,0.995,0.64528,0.24537,1.33572,0.16727,0.23472,0.51568,0.0003962,0.0003962,0.0003962
83,239.291,0.16218,1.4348,0.17741,0.13945,0.93272,0.99848,1,0.995,0.99138,0.99848,1,0.995,0.73468,0.27117,1.15861,0.1675,0.23867,0.5469,0.0003764,0.0003764,0.0003764
84,241.887,0.15027,1.5362,0.1772,0.13212,0.90541,0.99849,1,0.995,0.99341,0.99849,1,0.995,0.75547,0.27024,1.09493,0.169,0.23755,0.54243,0.0003566,0.0003566,0.0003566
85,244.455,0.14731,1.47465,0.17313,0.12846,0.92753,0.99848,1,0.995,0.9907,0.99848,1,0.995,0.71896,0.26267,1.19934,0.16889,0.2564,0.53361,0.0003368,0.0003368,0.0003368
86,246.987,0.15108,1.28415,0.18312,0.13081,0.92419,0.9985,1,0.995,0.995,0.9985,1,0.995,0.78731,0.26828,1.0047,0.16549,0.25513,0.54279,0.000317,0.000317,0.000317
87,249.598,0.1524,1.31835,0.17833,0.13558,0.91212,0.99846,1,0.995,0.99021,0.99846,1,0.995,0.77568,0.27825,1.02741,0.16886,0.26972,0.54773,0.0002972,0.0002972,0.0002972
88,252.131,0.13859,1.24609,0.17205,0.125,0.91536,0.99846,1,0.995,0.98993,0.99846,1,0.995,0.78656,0.26818,1.02845,0.16682,0.26252,0.52911,0.0002774,0.0002774,0.0002774
89,254.699,0.13806,1.27682,0.17797,0.12654,0.90983,0.99848,1,0.995,0.98582,0.99848,1,0.995,0.79023,0.26559,0.96831,0.16671,0.28359,0.53494,0.0002576,0.0002576,0.0002576
90,257.234,0.14319,1.17418,0.17082,0.12537,0.90349,1,1,0.995,0.98881,1,1,0.995,0.7867,0.25897,1.02118,0.16734,0.25376,0.52893,0.0002378,0.0002378,0.0002378
91,262.188,0.13891,1.38272,0.17448,0.12615,0.91474,1,1,0.995,0.98874,1,1,0.995,0.75523,0.25807,1.09404,0.17049,0.24518,0.52699,0.000218,0.000218,0.000218
92,265.016,0.14231,1.23507,0.17525,0.13249,0.91631,1,1,0.995,0.97976,1,1,0.995,0.76765,0.25307,1.02799,0.16979,0.2545,0.52287,0.0001982,0.0001982,0.0001982
93,267.596,0.13863,1.24404,0.17267,0.12302,0.91282,1,1,0.995,0.96831,1,1,0.995,0.69966,0.24256,1.18955,0.17569,0.25017,0.51472,0.0001784,0.0001784,0.0001784
94,270.106,0.13463,1.17896,0.16799,0.12078,0.91576,1,1,0.995,0.97748,1,1,0.995,0.80644,0.24269,0.98437,0.1673,0.2312,0.50839,0.0001586,0.0001586,0.0001586
95,272.73,0.13344,1.1299,0.16715,0.12156,0.88753,1,1,0.995,0.98796,1,1,0.995,0.80444,0.23479,0.95991,0.17028,0.22847,0.4993,0.0001388,0.0001388,0.0001388
96,275.309,0.13066,1.15677,0.16823,0.11829,0.90851,1,1,0.995,0.98652,1,1,0.995,0.81013,0.23373,0.92685,0.17019,0.23118,0.49719,0.000119,0.000119,0.000119
97,277.909,0.13743,1.18845,0.17077,0.1205,0.91399,1,1,0.995,0.98393,1,1,0.995,0.81556,0.23438,0.90294,0.16996,0.22752,0.4989,9.92e-05,9.92e-05,9.92e-05
98,280.556,0.13487,1.15407,0.17461,0.11588,0.90944,1,1,0.995,0.98375,1,1,0.995,0.8057,0.23369,0.92333,0.16814,0.22746,0.49911,7.94e-05,7.94e-05,7.94e-05
99,283.038,0.12791,1.15886,0.16772,0.1145,0.9103,1,1,0.995,0.98619,1,1,0.995,0.78432,0.22883,0.9285,0.16955,0.22248,0.49502,5.96e-05,5.96e-05,5.96e-05
100,285.507,0.12852,1.04614,0.17204,0.1169,0.90774,1,1,0.995,0.98976,1,1,0.995,0.78894,0.23033,0.90362,0.17126,0.20872,0.49694,3.98e-05,3.98e-05,3.98e-05
